Mon Oct 09 2023 17:38:14 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 17:38:14 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 17:38:14 GMT+0100 (British Summer Time) | Blog Upload | [ERROR] | Error: ENOENT: no such file or directory, open 'C:\Users\Jay\OneDrive\Files\Websites\jellyware\server\server_built\docx_htmluploaded_file.docx', failed on convert to HTML
Mon Oct 09 2023 17:38:18 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 17:38:18 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 17:38:18 GMT+0100 (British Summer Time) | Blog Upload | [ERROR] | Error: ENOENT: no such file or directory, open 'C:\Users\Jay\OneDrive\Files\Websites\jellyware\server\server_built\docx_htmluploaded_file.docx', failed on convert to HTML
Mon Oct 09 2023 17:39:26 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 17:39:26 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 17:39:26 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Mon Oct 09 2023 17:39:26 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 17:39:26 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to ::1
Mon Oct 09 2023 17:40:57 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 17:40:57 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 17:40:57 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Mon Oct 09 2023 17:40:57 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 17:40:57 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to ::1
Mon Oct 09 2023 17:41:12 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 17:41:12 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 17:41:12 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Mon Oct 09 2023 17:41:12 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 17:41:12 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to ::1
Mon Oct 09 2023 17:42:24 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 17:42:24 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 17:42:24 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Mon Oct 09 2023 17:42:24 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 17:42:24 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to ::1
Mon Oct 09 2023 21:28:59 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 21:28:59 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 21:28:59 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Mon Oct 09 2023 21:28:59 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 21:28:59 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to ::1
Mon Oct 09 2023 21:29:02 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 21:29:02 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 21:29:02 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Mon Oct 09 2023 21:29:02 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 21:29:02 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to ::1
Mon Oct 09 2023 21:34:24 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | data ready to post to process reCAPTCHA
Mon Oct 09 2023 21:34:24 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | recieved data from reCAPCTHA
Mon Oct 09 2023 21:34:24 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | User passed reCAPTCHA
Mon Oct 09 2023 21:34:24 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | User passed so sent email to them
Mon Oct 09 2023 21:34:26 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | data ready to post to process reCAPTCHA
Mon Oct 09 2023 21:34:26 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | recieved data from reCAPCTHA
Mon Oct 09 2023 21:34:26 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | User passed reCAPTCHA
Mon Oct 09 2023 21:34:26 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | User passed so sent email to them
Mon Oct 09 2023 21:34:42 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | data ready to post to process reCAPTCHA
Mon Oct 09 2023 21:34:42 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | recieved data from reCAPCTHA
Mon Oct 09 2023 21:34:42 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | User passed reCAPTCHA
Mon Oct 09 2023 21:34:42 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | User passed so sent email to them
Mon Oct 09 2023 21:34:48 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | data ready to post to process reCAPTCHA
Mon Oct 09 2023 21:34:48 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | recieved data from reCAPCTHA
Mon Oct 09 2023 21:34:48 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | User passed reCAPTCHA
Mon Oct 09 2023 21:34:48 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | User passed so sent email to them
Mon Oct 09 2023 21:34:58 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | data ready to post to process reCAPTCHA
Mon Oct 09 2023 21:34:58 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | recieved data from reCAPCTHA
Mon Oct 09 2023 21:34:58 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | User passed reCAPTCHA
Mon Oct 09 2023 21:34:58 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | User passed so sent email to them
Mon Oct 09 2023 21:35:40 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | data ready to post to process reCAPTCHA
Mon Oct 09 2023 21:35:40 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | recieved data from reCAPCTHA
Mon Oct 09 2023 21:35:40 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | User passed reCAPTCHA
Mon Oct 09 2023 21:35:40 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | User passed so sent email to them
Mon Oct 09 2023 21:52:18 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 21:52:18 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 21:52:18 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Mon Oct 09 2023 21:52:18 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 21:52:18 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Mon Oct 09 2023 21:52:18 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed html file from local storage
Mon Oct 09 2023 21:53:27 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 21:53:27 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 21:53:27 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Mon Oct 09 2023 21:53:27 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 21:53:27 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Mon Oct 09 2023 21:57:37 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 21:57:37 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 21:57:37 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Mon Oct 09 2023 21:57:37 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 21:57:37 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Mon Oct 09 2023 22:15:52 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 22:15:52 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 22:15:52 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Mon Oct 09 2023 22:15:52 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 22:15:52 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Mon Oct 09 2023 22:16:03 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 22:16:03 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 22:16:03 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Mon Oct 09 2023 22:16:03 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 22:16:03 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Mon Oct 09 2023 22:16:39 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 22:16:39 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 22:16:39 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Mon Oct 09 2023 22:16:39 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 22:16:39 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Mon Oct 09 2023 22:16:41 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 22:16:41 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 22:16:41 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Mon Oct 09 2023 22:16:41 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 22:16:41 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
